year,spl_adjusted,spp_adjusted,price_diff,price_diff_adjusted,percent_increase,percent_increase_adjusted,days_between_sales
2011,166950,252685,-72214,-85735,-31,-34,117
2011,562584,187000,360740,375584,212,201,305
2011,79500,133150,-46045,-53650,-38,-40,284
2011,662500,330000,325000,332500,108,101,220
2011,88510,144925,-48250,-56415,-37,-39,130
2011,142114,145560,1743,-3446,1,-2,199
2011,379268,189200,185800,190068,108,100,287
2011,248040,379500,-111000,-131460,-32,-35,307
2011,124020,207251,-71410,-83231,-38,-40,158
2011,127200,158400,-24000,-31200,-17,-20,188
2011,87715,163320,-65723,-75605,-44,-46,329
2011,217303,243352,-24574,-26048,-11,-11,64
2011,349800,389657,-37601,-39857,-10,-10,90
2011,21200,118048,-87316,-96848,-81,-82,248
2011,227900,126500,100000,101400,87,80,319
2011,127730,143885,-15241,-16155,-11,-11,36
2011,113367,109408,3735,3959,4,4,70
2011,200340,195994,4100,4346,2,2,83
2011,42400,42400,0,0,0,0,2
2011,238500,57319,172892,181181,332,316,196
2011,39110,121622,-73669,-82512,-67,-68,237
2011,161650,154000,12500,7650,9,5,344
2011,201294,124631,72324,76663,62,62,68
2011,164724,266631,-86992,-101907,-36,-38,296
2011,225780,296074,-66315,-70294,-24,-24,88
2011,171720,206251,-25501,-34531,-14,-17,168
2011,223660,412500,-164000,-188840,-44,-46,126
2011,140874,187282,-37356,-46408,-22,-25,237
2011,180306,251075,-66763,-70769,-28,-28,82
2011,110187,207902,-85052,-97715,-45,-47,349
2011,315880,278300,45000,37580,18,14,116
2011,376300,213400,161000,162900,83,76,364
2011,105947,170445,-55000,-64498,-36,-38,215
2011,610146,632500,609,-22354,0,-4,273
2011,201400,126140,71000,75260,60,60,83
2011,144844,173878,-21426,-29034,-14,-17,350
2011,169600,116600,50000,53000,45,45,41
2011,42400,95400,-50000,-53000,-56,-56,22
2011,159000,192170,-24700,-33170,-14,-17,160
2011,136528,213808,-65571,-77280,-34,-36,192
2011,209880,247949,-27408,-38069,-12,-15,179
2011,196100,167101,27358,28999,17,17,83
2011,111194,118106,-6521,-6912,-6,-6,46
2011,90100,145750,-52500,-55650,-38,-38,30
2011,38902,37842,1000,1060,3,3,11
2011,429300,478060,-46000,-48760,-10,-10,14
